Canton,WeekNumber,Start_date,End_date,Restaurant_cat,Bar_cat,Nightclubs_cat,Retail_cat,BarbersSalonSpa_cat,EntertainmentTheaters_cat,Schools_cat,MaskInShop_cat,TravelRestrictions_cat,TourismPotential,TourismPotential_cat,Restaurant_shap,Bar_shap,Nightclubs_shap,Retail_shap,BarbersSalonSpa_shap,EntertainmentTheaters_shap,Schools_shap,MaskInShop_shap,TravelRestrictions_shap,TourismPotential_shap,Total_cases,Active_infection,Daily_Infection,Daily/Active_observed,Daily/Active_XGBoost,Max,Min,AbsMax
AR,19,May4_2020,May10_2020,0,0,0,1,1,0,0,0,0,122,1,-0.0496753544,-0.0273161952,-0.0843509716,-0.0253769474,-0.009239209,-0.0146381424,-0.000483574,0.0035245364,-0.047692806,-0.0358067654,97,8.71429,0,1.1666662,0.7272675634,MaskInShop,Nightclubs,Nightclubs
AR,20,May11_2020,May17_2020,2,1,0,2,1,1,0,0,0,122,1,-0.0544111442,-0.028234647,-0.0843509716,-0.0257995696,-0.0092653148,-0.0146381424,-0.000570794,0.0035882868,-0.0478859276,-0.0390871082,98.4286,3,0.285714,0,0.7272675634,MaskInShop,Nightclubs,Nightclubs
AR,21,May18_2020,May24_2020,2,1,0,2,1,1,0,0,0,122,1,-0.0544111442,-0.028234647,-0.0843509716,-0.0257995696,-0.0092653148,-0.0146381424,-0.000570794,0.0035882868,-0.0478859276,-0.0390871082,99,1.85714,0,1.999998,0.7272675634,MaskInShop,Nightclubs,Nightclubs
AR,22,May25_2020,May31_2020,2,1,0,2,1,1,0,0,0,122,1,-0.0544111442,-0.028234647,-0.0843509716,-0.0257995696,-0.0092653148,-0.0146381424,-0.000570794,0.0035882868,-0.0478859276,-0.0390871082,99.4286,1,0.142857,0,0.7272675634,MaskInShop,Nightclubs,Nightclubs
AR,23,June1_2020,June7_2020,3,1,2,2,1,2,0,0,0,122,1,-0.0183113056,-0.0282375226,0.0697994276,-0.0156364474,-0.0061207468,0.0105362012,-0.0001787765,0.0090717466,-0.0473684064,-0.0532404922,100,1,0,0,0.9804129594,Nightclubs,TourismPotential,Nightclubs
AR,24,June8_2020,June14_2020,3,1,2,2,1,2,0,0,0,122,1,-0.0183113056,-0.0282375226,0.0697994276,-0.0156364474,-0.0061207468,0.0105362012,-0.0001787765,0.0090717466,-0.0473684064,-0.0532404922,100,0.428571,0,0,0.9804129594,Nightclubs,TourismPotential,Nightclubs
AR,25,June15_2020,June21_2020,3,1,2,2,1,2,0,0,0,122,1,-0.0183113056,-0.0282375226,0.0697994276,-0.0156364474,-0.0061207468,0.0105362012,-0.0001787765,0.0090717466,-0.0473684064,-0.0532404922,100,0,0,1.999998,0.9804129594,Nightclubs,TourismPotential,Nightclubs
AR,26,June22_2020,June28_2020,4,2,2,2,1,2,0,0,0,122,1,0.0069194034,0.005012644,0.0697994276,-0.0136331566,-0.0058309342,0.0105362012,5.89858595049009E-005,0.011443684,-0.0454736492,-0.0553379932,100.571,0.857143,0.142857,1.999998,1.0208807588,Nightclubs,TourismPotential,Nightclubs
AR,27,June29_2020,July5_2020,4,2,2,2,1,2,0,0,0,122,1,0.0069194034,0.005012644,0.0697994276,-0.0136331566,-0.0058309342,0.0105362012,5.89858595049009E-005,0.011443684,-0.0454736492,-0.0553379932,103.286,3.57143,0.428571,0.5000002,1.0208807588,Nightclubs,TourismPotential,Nightclubs
AR,28,July6_2020,July12_2020,4,2,2,2,1,2,0,1,0,122,1,0.0030573704,0.0033462968,0.0666972992,-0.0134390676,-0.0057781626,0.0102371766,6.17973200860434E-005,-0.0059534608,-0.044600871,-0.0519538376,104.571,4,0.142857,1.1666662,0.9860597852,Nightclubs,TourismPotential,Nightclubs
AR,29,July13_2020,July19_2020,4,2,2,2,1,2,0,1,0,122,1,0.0030573704,0.0033462968,0.0666972992,-0.0134390676,-0.0057781626,0.0102371766,6.17973200860434E-005,-0.0059534608,-0.044600871,-0.0519538376,106.429,3,0.285714,0.666666,0.9860597852,Nightclubs,TourismPotential,Nightclubs
AR,30,July20_2020,July26_2020,4,2,2,2,1,2,0,1,0,122,1,0.0030573704,0.0033462968,0.0666972992,-0.0134390676,-0.0057781626,0.0102371766,6.17973200860434E-005,-0.0059534608,-0.044600871,-0.0519538376,107.429,2.71429,0.142857,1.0000004,0.9860597852,Nightclubs,TourismPotential,Nightclubs
AR,31,July27_2020,August2_2020,4,2,2,2,1,2,0,1,0,122,1,0.0030573704,0.0033462968,0.0666972992,-0.0134390676,-0.0057781626,0.0102371766,6.17973200860434E-005,-0.0059534608,-0.044600871,-0.0519538376,108.429,2.14286,0.142857,0.666666,0.9860597852,Nightclubs,TourismPotential,Nightclubs
AR,32,August3_2020,August9_2020,4,2,2,2,1,2,0,1,0,122,1,0.0030573704,0.0033462968,0.0666972992,-0.0134390676,-0.0057781626,0.0102371766,6.17973200860434E-005,-0.0059534608,-0.044600871,-0.0519538376,110,2.85714,0.142857,2.311106,0.9860597852,Nightclubs,TourismPotential,Nightclubs
AR,33,August10_2020,August16_2020,4,2,2,2,1,2,0,1,0,122,1,0.0030573704,0.0033462968,0.0666972992,-0.0134390676,-0.0057781626,0.0102371766,6.17973200860434E-005,-0.0059534608,-0.044600871,-0.0519538376,115.714,8.14286,1.14286,1.2686268,0.9860597852,Nightclubs,TourismPotential,Nightclubs
AR,34,August17_2020,August23_2020,4,2,2,2,1,2,2,1,0,122,1,0.0009826619,-0.0009208848,0.0638641416,-0.0132878214,-0.0057363488,0.0102371766,0.0082710502,-0.006034567,-0.0443741214,-0.0504815612,124.857,15.7143,1.28571,0.6386562,0.98469168,Nightclubs,TourismPotential,Nightclubs
AR,35,August24_2020,August30_2020,4,2,2,2,1,2,2,1,0,122,1,0.0009826619,-0.0009208848,0.0638641416,-0.0132878214,-0.0057363488,0.0102371766,0.0082710502,-0.006034567,-0.0443741214,-0.0504815612,131,14.5714,0.714286,0.6818182,0.98469168,Nightclubs,TourismPotential,Nightclubs
AR,36,August31_2020,September6_2020,4,2,2,2,1,2,2,1,0,122,1,0.0009826619,-0.0009208848,0.0638641416,-0.0132878214,-0.0057363488,0.0102371766,0.0082710502,-0.006034567,-0.0443741214,-0.0504815612,134.143,8.85714,0.428571,0.888888,0.98469168,Nightclubs,TourismPotential,Nightclubs
BE,11,March9_2020,March15_2020,5,3,3,2,2,3,3,0,0,5550,24,0.6079168046,0.4010640284,0.079728712,-0.0084780584,-0.0013211362,0.012256419,0.00618681,0.0118983802,-0.0307754342,0.0752036796,34,45.5714,2.42857,3.175788,2.032193541,Restaurant,TravelRestrictions,Restaurant
BE,12,March16_2020,March22_2020,0,0,0,0,0,0,0,0,0,5550,24,-0.0490768852,-0.0262502352,-0.0821665264,0.0307888028,0.012132225,-0.0161265846,-0.0002101438,0.0045653132,-0.0406565208,0.0649741638,276.286,311.429,54.8571,1.192919,0.8529534342,TourismPotential,Nightclubs,Nightclubs
BE,13,March23_2020,March29_2020,0,0,0,0,0,0,0,0,0,5550,24,-0.0490768852,-0.0262502352,-0.0821665264,0.0307888028,0.012132225,-0.0161265846,-0.0002101438,0.0045653132,-0.0406565208,0.0649741638,652.714,656.857,54.2857,0.9608046,0.8529534342,TourismPotential,Nightclubs,Nightclubs
BE,14,March30_2020,April5_2020,0,0,0,0,0,0,0,0,0,5550,24,-0.0490768852,-0.0262502352,-0.0821665264,0.0307888028,0.012132225,-0.0161265846,-0.0002101438,0.0045653132,-0.0406565208,0.0649741638,987.143,710.857,48.4286,0.9200254,0.8529534342,TourismPotential,Nightclubs,Nightclubs
