Canton,WeekNumber,Start_date,End_date,Restaurant_shap,Bar_shap,Nightclubs_shap,Retail_shap,BarbersSalonSpa_shap,EntertainmentTheaters_shap,Schools_shap,MaskInShop_shap,TravelRestrictions_shap,TourismPotential_shap,Max,Min,AbsMax
TG,19,May4_2020,May10_2020,0.0006834954,0.0003053232,0,0.000105805,4.12159999999863E-006,0,1.73807999999999E-005,-0.0002239076,2.7484800000005E-005,-0.0016301482,Restaurant,TourismPotential,TourismPotential
TG,20,May11_2020,May17_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
TG,21,May18_2020,May24_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
TG,22,May25_2020,May31_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
TG,23,June1_2020,June7_2020,0.038892483,-2.87560000000048E-006,0.1643806304,0.010727731,0.003384339,0.0282861348,0.000875124,0.0074189304,0.000474796,0.0019106822,Nightclubs,Bar,Nightclubs
TG,24,June8_2020,June14_2020,0.038892483,-2.87560000000048E-006,0.1643806304,0.010727731,0.003384339,0.0282861348,0.000875124,0.0074189304,0.000474796,0.0019106822,Nightclubs,Bar,Nightclubs
TG,25,June15_2020,June21_2020,0.0421350048,0.0018461702,0.1647162384,0.0126311808,0.0048486578,0.0282861348,0.0011116756,0.0100286018,0.1928960572,0.0050312584,TravelRestrictions,Schools,TravelRestrictions
TG,26,June22_2020,June28_2020,0.0604713158,0.0338638328,0.1647162384,0.0146654046,0.0051156952,0.0282861348,0.0013316207,0.0123356478,0.1836443,0.006096615,TravelRestrictions,Schools,TravelRestrictions
TG,27,June29_2020,July5_2020,0.0604713158,0.0338638328,0.1647162384,0.0146654046,0.0051156952,0.0282861348,0.0013316207,0.0123356478,0.1836443,0.006096615,TravelRestrictions,Schools,TravelRestrictions
TG,28,July6_2020,July12_2020,0.0566489336,0.0322808976,0.1607134144,0.0148049748,0.005158335,0.0278809188,0.0013356564,-0.0131474882,0.1808260552,0.0050625988,TravelRestrictions,MaskInShop,TravelRestrictions
TG,29,July13_2020,July19_2020,0.0566489336,0.0322808976,0.1607134144,0.0148049748,0.005158335,0.0278809188,0.0013356564,-0.0131474882,0.1808260552,0.0050625988,TravelRestrictions,MaskInShop,TravelRestrictions
TG,30,July20_2020,July26_2020,0.0566489336,0.0322808976,0.1607134144,0.0148049748,0.005158335,0.0278809188,0.0013356564,-0.0131474882,0.1808260552,0.0050625988,TravelRestrictions,MaskInShop,TravelRestrictions
TG,31,July27_2020,August2_2020,0.0566489336,0.0322808976,0.1607134144,0.0148049748,0.005158335,0.0278809188,0.0013356564,-0.0131474882,0.1808260552,0.0050625988,TravelRestrictions,MaskInShop,TravelRestrictions
TG,32,August3_2020,August9_2020,0.0566489336,0.0322808976,0.1607134144,0.0148049748,0.005158335,0.0278809188,0.0013356564,-0.0131474882,0.1808260552,0.0050625988,TravelRestrictions,MaskInShop,TravelRestrictions
TG,33,August10_2020,August16_2020,0.0552620915,0.0285399983,0.1571324258,0.0149943752,0.005218332,0.0278809188,0.0055242183,-0.0132697432,0.1792417494,0.0041749652,TravelRestrictions,MaskInShop,TravelRestrictions
TG,34,August17_2020,August23_2020,0.0552620915,0.0285399983,0.1571324258,0.0149943752,0.005218332,0.0278809188,0.0055242183,-0.0132697432,0.1792417494,0.0041749652,TravelRestrictions,MaskInShop,TravelRestrictions
TG,35,August24_2020,August30_2020,0.0552620915,0.0285399983,0.1571324258,0.0149943752,0.005218332,0.0278809188,0.0055242183,-0.0132697432,0.1792417494,0.0041749652,TravelRestrictions,MaskInShop,TravelRestrictions
TG,36,August31_2020,September6_2020,0.0552620915,0.0285399983,0.1571324258,0.0149943752,0.005218332,0.0278809188,0.0055242183,-0.0132697432,0.1792417494,0.0041749652,TravelRestrictions,MaskInShop,TravelRestrictions
TI,11,March9_2020,March15_2020,0.6707770034,0.4320923614,0.1703426256,0.0135874746,0.0064695722,0.0286847358,0.0063156599,0.0078945874,0.0131960864,-0.0028963522,Restaurant,TourismPotential,Restaurant
TI,12,March16_2020,March22_2020,0.0060750634,0.0023467556,0.0116547032,0.0561542982,0.0232924566,0.0009128308,0.0001609561,0.0002520126,0.0021964166,-0.0122242414,Retail,TourismPotential,Retail
TI,13,March23_2020,March29_2020,0.0060750634,0.0023467556,0.0116547032,0.0561542982,0.0232924566,0.0009128308,0.0001609561,0.0002520126,0.0021964166,-0.0122242414,Retail,TourismPotential,Retail
TI,14,March30_2020,April5_2020,0.0060750634,0.0023467556,0.0116547032,0.0561542982,0.0232924566,0.0009128308,0.0001609561,0.0002520126,0.0021964166,-0.0122242414,Retail,TourismPotential,Retail
TI,15,April6_2020,April12_2020,0.0060750634,0.0023467556,0.0116547032,0.0561542982,0.0232924566,0.0009128308,0.0001609561,0.0002520126,0.0021964166,-0.0122242414,Retail,TourismPotential,Retail
TI,16,April13_2020,April19_2020,0.0060750634,0.0023467556,0.0116547032,0.0561542982,0.0232924566,0.0009128308,0.0001609561,0.0002520126,0.0021964166,-0.0122242414,Retail,TourismPotential,Retail
TI,17,April20_2020,April26_2020,0.0060750634,0.0023467556,0.0116547032,0.0561542982,0.0232924566,0.0009128308,0.0001609561,0.0002520126,0.0021964166,-0.0122242414,Retail,TourismPotential,Retail
TI,18,April27_2020,May3_2020,0.0006834954,0.0003053232,0,0.000105805,0.000004123,0,1.73808E-005,-0.0002239076,2.7484800000005E-005,-0.001630146,Restaurant,TourismPotential,TourismPotential
TI,19,May4_2020,May10_2020,0.0006834954,0.0003053232,0,0.000105805,0.000004123,0,1.73808E-005,-0.0002239076,2.7484800000005E-005,-0.001630146,Restaurant,TourismPotential,TourismPotential
TI,20,May11_2020,May17_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
TI,21,May18_2020,May24_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
TI,22,May25_2020,May31_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
TI,23,June1_2020,June7_2020,0.0392155722,2.24168000000011E-005,0.1651684678,0.0107277296,0.003384339,0.0286328756,0.0009367615,0.0074360188,0.0005579784,0.0033683538,Nightclubs,Bar,Nightclubs
TI,24,June8_2020,June14_2020,0.0392155722,2.24168000000011E-005,0.1651684678,0.0107277296,0.003384339,0.0286328756,0.0009367615,0.0074360188,0.0005579784,0.0033683538,Nightclubs,Bar,Nightclubs
TI,25,June15_2020,June21_2020,0.0423386236,0.0018161948,0.16522345,0.011941972,0.0043846194,0.0286328756,0.0010698059,0.0099776264,0.1859220076,-0.0005683048,TravelRestrictions,TourismPotential,TravelRestrictions
